274 ;   1.043e-266
273 ;   6.826e-269
272 ;   4.351e-271
272 ;   2.701e-273
271 ;   1.634e-275
270 ;   9.628e-278
269 ;   5.527e-280
269 ;   3.090e-282
268 ;   1.683e-284
267 ;   8.932e-287
266 ;   4.617e-289
266 ;   2.325e-291
265 ;   1.140e-293
264 ;   5.449e-296
264 ;   2.536e-298
263 ;   1.150e-300
262 ;   5.080e-303
261 ;   2.186e-305
261 ;   9.163e-308
260 ;   3.741e-310
259 ;   1.488e-312
259 ;   5.767e-315
258 ;   2.177e-317
257 ;   8.005e-320
257 ;   2.866e-322
256 ;   0.000e+00
255 ;   0.000e+00
255 ;   0.000e+00
254 ;   0.000e+00
253 ;   0.000e+00
253 ;   0.000e+00
252 ;   0.000e+00
251 ;   0.000e+00
251 ;   0.000e+00
250 ;   0.000e+00
249 ;   0.000e+00
249 ;   0.000e+00
248 ;   0.000e+00
247 ;   0.000e+00
247 ;   0.000e+00
246 ;   0.000e+00
246 ;   0.000e+00
245 ;   0.000e+00
244 ;   0.000e+00
244 ;   0.000e+00
243 ;   0.000e+00
243 ;   0.000e+00
242 ;   0.000e+00
241 ;   0.000e+00
241 ;   0.000e+00
240 ;   0.000e+00
240 ;   0.000e+00
239 ;   0.000e+00
238 ;   0.000e+00
238 ;   0.000e+00
237 ;   0.000e+00
237 ;   0.000e+00
236 ;   0.000e+00
235 ;   0.000e+00
235 ;   0.000e+00
234 ;   0.000e+00
234 ;   0.000e+00
233 ;   0.000e+00
233 ;   0.000e+00
232 ;   0.000e+00
232 ;   0.000e+00
231 ;   0.000e+00
